seq_id,alignment_start,alignment_end,envelope_start,envelope_end,hmm_acc,hmm_name,type,hmm_start,hmm_end,hmm_length,bit_score,E-value,significance,clan
ATCG00510.1,7,31,7,31,PF00796.17,PSI_8,Family,1,25,25,53.6,1.3e-14,1,No_clan
ATCG00280.1,31,469,31,472,PF00421.18,PSII,Family,1,504,507,503.7,5.3e-151,1,No_clan
ATCG00890.1,23,320,23,320,PF00361.19,Proton_antipo_M,Family,1,293,293,295.1,4.8e-88,1,CL0425
ATCG01250.1,23,320,23,320,PF00361.19,Proton_antipo_M,Family,1,293,293,295.1,4.8e-88,1,CL0425
ATCG00340.1,8,727,8,727,PF00223.18,PsaA_PsaB,Family,1,718,718,1135.5,0,1,No_clan
ATCG00600.1,1,36,1,36,PF02529.14,PetG,Family,1,36,36,80.4,5.7e-23,1,No_clan
ATCG00210.1,1,29,1,29,PF03742.13,PetN,Family,1,29,29,65.1,3.4e-18,1,No_clan
ATCG00020.1,28,327,28,329,PF00124.18,Photo_RC,Family,1,258,260,327.7,3.8e-98,1,No_clan
ATCG01100.1,34,352,31,353,PF00146.20,NADHdh,Family,4,298,299,375.1,2.3e-112,1,No_clan
ATCG00710.1,16,67,16,67,PF00737.19,PsbH,Family,1,52,52,107.2,2.3e-31,1,No_clan
ATCG00590.1,1,31,1,31,PF05115.13,PetL,Family,1,31,31,55.6,3.3e-15,1,No_clan
ATCG01050.1,137,421,137,431,PF00361.19,Proton_antipo_M,Family,1,286,293,199.9,4.5e-59,1,CL0425
ATCG00520.1,7,182,6,183,PF02392.15,Ycf4,Family,2,177,178,254.4,4.1e-76,1,No_clan
ATCG00070.1,21,61,21,61,PF02533.14,PsbK,Family,1,41,41,85.8,1.4e-24,1,No_clan
ATCG00700.1,1,43,1,43,PF02468.14,PsbN,Family,1,43,43,80.9,4e-23,1,No_clan
ATCG00080.1,1,35,1,36,PF02532.13,PsbI,Family,1,35,36,85.7,1.3e-24,1,No_clan
ATCG00350.1,32,744,32,744,PF00223.18,PsaA_PsaB,Family,1,718,718,1290.0,0,1,No_clan
ATCG00570.1,1,29,1,29,PF00283.18,Cytochrom_B559,Family,1,29,29,60.9,4.9e-17,1,No_clan
ATCG00690.1,1,29,1,29,PF01405.16,PsbT,Family,1,29,29,68.5,2.8e-19,1,No_clan
ATCG00670.1,17,194,15,196,PF00574.22,CLP_protease,Domain,3,179,182,224.3,9.7e-67,1,CL0127
ATCG00580.1,6,34,6,34,PF00283.18,Cytochrom_B559,Family,1,29,29,57.4,6.1e-16,1,No_clan
ATCG00580.1,42,79,42,80,PF00284.19,Cytochrom_B559a,Family,1,38,39,71.8,2.5e-20,1,No_clan
ATCG01000.1,22,343,22,343,PF05758.11,Ycf1,Family,1,343,945,628.7,1.5e-188,1,No_clan
ATCG01130.1,22,910,22,911,PF05758.11,Ycf1,Family,1,944,945,1627.5,0,1,No_clan
ATCG00440.1,23,119,21,119,PF00507.18,Oxidored_q4,Family,3,99,99,124.3,1.7e-36,1,No_clan
ATCG00680.1,1,500,1,500,PF00421.18,PSII,Family,1,507,507,871.0,2.5e-262,1,No_clan
ATCG00040.1,23,353,23,353,PF01824.17,MatK_N,Family,1,331,331,537.3,1.7e-161,1,No_clan
