seq_id,alignment_start,alignment_end,envelope_start,envelope_end,hmm_acc,hmm_name,type,hmm_start,hmm_end,hmm_length,bit_score,E-value,significance,clan
ATCG00300.1,5,61,4,61,PF01737.16,Ycf9,Family,2,58,58,85.6,1.4e-24,1,No_clan
AT2G19580.1,6,251,4,252,PF00335.19,Tetraspannin,Family,3,230,231,108.0,5.5e-31,1,CL0347
AT2G15080.1,32,79,31,79,PF08263.11,LRRNT_2,Family,2,41,41,33.9,2.7e-08,1,No_clan
AT2G15080.1,114,134,113,135,PF00560.32,LRR_1,Repeat,2,22,23,11.4,0.37,1,CL0022
AT2G15080.1,137,159,137,159,PF00560.32,LRR_1,Repeat,1,23,23,13.9,0.054,1,CL0022
AT2G15080.1,282,340,280,340,PF13855.5,LRR_8,Repeat,3,61,61,28.1,1.2e-06,1,CL0022
AT2G15080.2,32,79,31,79,PF08263.11,LRRNT_2,Family,2,41,41,33.9,2.7e-08,1,No_clan
AT2G15080.2,114,134,113,135,PF00560.32,LRR_1,Repeat,2,22,23,11.4,0.37,1,CL0022
AT2G15080.2,137,159,137,159,PF00560.32,LRR_1,Repeat,1,23,23,13.9,0.054,1,CL0022
AT2G15080.2,282,340,280,340,PF13855.5,LRR_8,Repeat,3,61,61,28.1,1.2e-06,1,CL0022
AT2G33130.1,47,100,45,100,PF05498.10,RALF,Family,3,64,64,37.2,3.7e-09,1,No_clan
AT2G05520.1,1,82,1,83,PF07172.10,GRP,Family,1,95,95,72.5,3.3e-20,1,No_clan
AT2G05520.2,1,82,1,82,PF07172.10,GRP,Family,1,95,95,71.9,5e-20,1,No_clan
AT2G05520.3,1,89,1,109,PF07172.10,GRP,Family,1,95,95,55.7,5.5e-15,1,No_clan
AT2G05520.4,1,76,1,78,PF07172.10,GRP,Family,1,90,95,70.4,1.5e-19,1,No_clan
AT2G05520.6,1,95,1,110,PF07172.10,GRP,Family,1,92,95,64.8,7.9e-18,1,No_clan
AT2G05520.5,1,90,1,94,PF07172.10,GRP,Family,1,93,95,73.9,1.2e-20,1,No_clan
AT2G28405.1,27,83,25,83,PF07333.11,SLR1-BP,Domain,3,58,58,49.7,3.4e-13,1,CL0054
AT2G19210.1,34,359,34,359,PF12819.6,Malectin_like,Domain,1,336,336,372.4,1.9e-111,1,CL0468
AT2G19210.1,417,473,413,473,PF13855.5,LRR_8,Repeat,5,61,61,34.5,1.2e-08,1,CL0022
AT2G19210.1,578,846,576,846,PF07714.16,Pkinase_Tyr,Domain,3,260,260,159.4,9.5e-47,1,CL0016
AT2G26330.1,25,63,23,64,PF08263.11,LRRNT_2,Family,3,40,41,36.8,3.2e-09,1,No_clan
AT2G26330.1,116,176,116,176,PF13855.5,LRR_8,Repeat,1,61,61,28.7,7.7e-07,1,CL0022
AT2G26330.1,404,417,401,419,PF13516.5,LRR_6,Repeat,4,17,24,9.5,0.98,1,CL0022
AT2G26330.1,428,487,427,487,PF13855.5,LRR_8,Repeat,2,61,61,48.7,4.3e-13,1,CL0022
AT2G26330.1,520,537,520,538,PF13516.5,LRR_6,Repeat,1,17,24,9.3,1.1,1,CL0022
AT2G26330.1,651,911,648,913,PF00069.24,Pkinase,Domain,4,259,264,161.1,3.1e-47,1,CL0016
AT2G28250.1,212,490,210,492,PF00069.24,Pkinase,Domain,3,260,264,153.9,4.6e-45,1,CL0016
AT2G28250.2,212,490,210,492,PF00069.24,Pkinase,Domain,3,260,264,153.9,4.6e-45,1,CL0016
AT2G30933.1,81,151,81,152,PF07983.12,X8,Domain,1,75,76,76.2,2.2e-21,1,No_clan
AT2G20300.1,351,616,349,616,PF07714.16,Pkinase_Tyr,Domain,3,260,260,165.3,1.5e-48,1,CL0016
AT2G42990.1,29,341,29,341,PF00657.21,Lipase_GDSL,Family,1,200,200,57.7,1.4e-15,1,CL0264
AT2G28355.1,31,77,25,77,PF07333.11,SLR1-BP,Domain,7,58,58,40.4,2.8e-10,1,CL0054
AT2G19190.1,33,359,33,359,PF12819.6,Malectin_like,Domain,1,336,336,342.3,2.6e-102,1,CL0468
AT2G19190.1,414,474,414,474,PF13855.5,LRR_8,Repeat,1,61,61,36.0,4e-09,1,CL0022
AT2G19190.1,577,839,574,842,PF00069.24,Pkinase,Domain,4,259,264,162.1,1.5e-47,1,CL0016
AT2G15300.1,25,64,24,65,PF08263.11,LRRNT_2,Family,2,40,41,48.6,6.7e-13,1,No_clan
